video_id,title,views,published_date,likes,comments,shares,watch_time_min,engagement_rate
1,Quick Tips for Productivity,125000,2025-11-10,8200,340,120,1520,0.068
2,How to Bake Bread at Home,98000,2025-12-01,5400,210,80,980,0.059
3,Daily Workout Routine,45000,2025-12-15,3200,145,60,720,0.082
4,30-Minute Yoga Flow,67000,2025-10-05,4100,180,75,860,0.064
5,Top 10 Coding Tricks,230000,2025-09-20,15000,720,450,4200,0.071
6,Beginner Guitar Lesson,15000,2025-08-30,900,35,12,180,0.064
7,Travel Vlog: City Lights,89000,2025-07-12,6100,260,95,1120,0.073
8,DIY Home Office Setup,54000,2025-06-01,4200,190,70,900,0.089
9,Healthy Smoothie Recipes,33000,2025-05-22,2600,110,45,540,0.099
10,Time Management Hacks,77000,2025-04-10,4900,215,88,1180,0.092
11,Quick Meal Prep Ideas,48000,2025-03-18,3500,140,50,720,0.080
12,Weekend Gardening Tips,22000,2025-02-25,1200,60,22,260,0.077
13,Language Learning Tricks,68000,2025-01-30,5400,230,95,1340,0.092
14,Beginner Photography Guide,31000,2024-12-15,2100,95,40,540,0.082
15,Work From Home Ergonomics,41000,2024-11-05,2900,125,55,680,0.086
